Date,AMZN,AAPL,MSFT,NVDA,META,Total,Daily Returns
2015-01-02,20000.0,20000.0,20000.0,20000.0,20000.0,100000.0,
2015-01-05,19585.223590408295,19436.516648371755,19816.082121471347,19600.0,19678.776290630976,98116.59865088238,-0.018834013491176194
2015-01-06,19131.56189241737,19443.834613977317,19525.23524379812,19200.0,19413.63926067559,96714.2710108684,-0.014292460799662843
2015-01-07,19338.950097213223,19714.5993413831,19773.310521813517,19200.0,19413.63926067559,97440.49922108543,0.0075090077464929905
2015-01-08,19468.56772521063,20468.349798755946,20355.00427715997,20000.0,19928.616953473553,100220.5387546001,0.02853063721694382
2015-01-09,19248.21775761504,20490.30369557263,20183.91787852866,20000.0,19818.992989165075,99741.4323208814,-0.004780521434751384
2015-01-12,18885.288399222296,19985.36406878888,19931.56544054748,19600.0,19558.95474824729,97961.17265680595,-0.017848747733520742
2015-01-13,19105.63836681789,20160.99524332236,19824.63644140291,19600.0,19490.121096239644,98181.39114778281,0.0022480181178348158
2015-01-14,19001.944264419963,20087.815587266745,19653.550042771603,19600.0,19446.78138942001,97790.09128387831,-0.00398547891132961
2015-01-15,18600.129617627998,19538.96816684962,19452.523524379812,19600.0,18878.266411727214,96069.88772058464,-0.017590775718779428
2015-01-16,18846.403110823074,19392.608854738384,19777.587681779303,20000.0,19166.347992351817,97182.94763969257,0.011585939627047681
2015-01-20,18755.67077122489,19890.230515916577,19841.74508126604,20000.0,19436.583811344804,97924.23017975231,0.007627701752863647
2015-01-21,19261.179520414775,20043.907793633374,19640.718562874255,20400.0,19564.053537284894,98909.8594142073,0.010065223210289576
2015-01-22,20116.65586519767,20563.48335162825,20158.254918733965,20800.000000000004,19796.04843849586,101434.44257405575,0.025524079953204604
2015-01-23,20246.273493195073,20673.252835711675,20179.640718562878,20800.000000000004,19841.93753983429,101741.10458730391,0.0030232533000245088
2015-01-26,20064.80881399871,20687.8887669228,20106.92899914457,20800.000000000004,19757.80752071383,101417.43410077991,-0.003181314846510852
2015-01-27,19883.344134802337,19970.728137577753,18246.364414029085,19600.0,19319.311663479923,97019.7483498891,-0.043362226523309344
2015-01-28,19701.879455605966,21097.69484083425,17617.621899059024,19200.0,19436.583811344804,97053.78000684406,0.0003507704104965814
2015-01-29,20207.388204795854,21756.3117453348,17968.349016253207,19600.0,19885.27724665392,99417.32621303778,0.02435295365133694
2015-01-30,22981.205443940376,21434.321258690085,17279.72626176219,19200.0,19352.453792224343,100247.706756617,0.008352473107150704
2015-02-02,23616.331821127675,21705.085986095866,17656.11633875107,19600.0,19117.90949649458,101695.4436424692,0.014441596049344474
2015-02-03,23564.48476992871,21705.085986095866,17792.98545765612,20000.0,19222.434671765455,102284.99088544615,0.0057971844348270185
2015-02-04,23642.255346727154,21873.399195023783,17895.637296834906,20000.0,19281.070745697896,102692.36258428374,0.003982712373644448
2015-02-05,24225.534672715494,21939.26088547384,18156.54405474765,20400.0,19275.971956660294,103997.31156959728,0.01270736160386332
2015-02-06,24251.45819831497,21756.3117453348,18139.435414884516,20400.0,18985.34098151689,103532.54634005117,-0.004469011963209146
2015-02-09,24018.14646791964,21902.671057446034,18118.049615055603,20400.0,18977.692797960484,103416.55993838176,-0.0011202892787786078
2015-02-10,24173.687621516525,22319.795096963047,18220.70145423439,20800.000000000004,19168.89738687062,104683.08155958459,0.012246797050273761
2015-02-11,24316.267012313678,22846.688620563484,18126.60393498717,20800.000000000004,19505.417463352456,105594.97703121678,0.008711010968024846
2015-02-12,24445.884640311084,23132.08927918039,18430.282292557746,22400.000000000004,19434.034416826005,107842.29062887523,0.021282391083754737
2015-02-13,24744.00518470512,23249.176728869374,18763.900769888794,22400.000000000004,19309.114085404715,108466.196768868,0.00578535689806392
2015-02-17,24329.228775113414,23388.218075375047,18639.863130881095,22400.000000000004,19273.42256214149,108030.73254351105,-0.004014745960761235
2015-02-18,24199.61114711601,23549.213318697402,18618.477331052185,22000.000000000004,19556.40535372849,107923.70715059408,-0.0009906939478898646
2015-02-19,24562.54050550875,23497.987559458474,18605.645851154837,22000.000000000004,20247.291268323774,108913.46518444584,0.009170904706513383
2015-02-20,24860.66104990279,23688.254665203076,18755.346449957233,22400.000000000004,20367.11281070746,110071.37497577055,0.010631465901518977
2015-02-23,24640.3110823072,24332.2356384925,18883.66124893071,22000.000000000004,20099.42638623327,109955.63435596369,-0.001051505169553324
2015-02-24,24536.616979909268,24178.558360775707,18857.998289136016,22400.000000000004,20000.0,109973.17362982099,0.00015951227929367207
2015-02-25,24977.316915100455,23563.84924990853,18815.22668947819,22000.000000000004,20282.982791586997,109639.37564607417,-0.0030352673541131914
2015-02-26,24938.431626701233,23856.567874130997,18840.889649272885,22400.000000000004,20499.68132568515,110535.57047579026,0.00817402346953422
2015-02-27,24640.3110823072,23505.305525064035,18755.346449957233,22000.000000000004,20132.568514977695,109033.53157230616,-0.01358873796931348
2015-03-02,24990.278677900198,23615.075009147462,18768.17792985458,22400.000000000004,20331.421287444227,110104.95290434647,0.009826530578162407
2015-03-03,24925.469863901493,23666.300768386394,18511.548331907616,22000.000000000004,20293.180369662205,109396.4993338577,-0.0064343478817363575
2015-03-04,24808.813998703827,23512.623490669597,18413.17365269461,22400.000000000004,20622.052262587633,109756.66340465566,0.0032922814988696203
2015-03-05,25132.858068697344,23124.77131357483,18438.836612489307,22799.999999999996,20703.632887189295,110200.09888195078,0.0040401690752955854
2015-03-06,24627.34931950745,23161.361141602636,18118.049615055603,22400.000000000004,20395.156150414277,108701.91622657997,-0.01359511171560468
2015-03-09,24536.616979909268,23263.8126600805,18327.63045337896,22799.999999999996,20252.390057361376,109180.4501507301,0.0044022584031790934
2015-03-10,23953.337653920935,22780.826930113428,17976.903336184776,22799.999999999996,19770.554493307838,107281.62241352697,-0.0173916459822403
2015-03-11,23745.949449125084,22363.702890596414,17955.51753635586,22799.999999999996,19775.65328234544,106640.8231584228,-0.005973057087393263
2015-03-12,24251.45819831497,22766.190998902304,17544.910179640723,22799.999999999996,20122.37093690249,107484.93031376049,0.00791542235269227
2015-03-13,24018.14646791964,22612.51372118551,17698.8879384089,22799.999999999996,19898.024219247927,107027.57234676197,-0.004255089207979568
2015-03-16,24199.61114711601,22861.324551774607,17775.87681779299,22799.999999999996,19903.123008285533,107539.93552496914,0.004787207323988962
2015-03-17,24108.878807517824,23241.85876326382,17835.757057313946,23200.0,20231.99490121096,108618.48952930655,0.010029334675274892
2015-03-18,24316.267012313678,23505.305525064035,18177.929854576563,22799.999999999996,20627.15105162524,109426.6534435795,0.00744038991680962
2015-03-19,24186.649384316268,23322.35638492499,18083.83233532934,23200.0,21096.23964308477,109889.07774765538,0.004225883635510241
2015-03-20,24523.65521710953,23036.95572630809,18340.461933276307,23600.0,21363.926067558954,110864.99894425287,0.008880966303480786
2015-03-23,24316.267012313678,23271.130625686063,18327.63045337896,22799.999999999996,21524.53792224347,110239.56601362217,-0.005641392112809118
2015-03-24,24238.49643551523,23175.997072813763,18349.016253207872,22400.000000000004,21748.884639898024,109912.39440143488,-0.002967823840551609
2015-03-25,24044.069993519122,22568.605927552144,17733.10521813516,21200.000000000004,21139.5793499044,106685.36048911081,-0.029360054704457794
2015-03-26,23810.75826312379,22729.6011708745,17626.176218990593,20800.000000000004,21162.523900573615,106129.05955356249,-0.005214407421954559
2015-03-27,24018.14646791964,22546.65203073546,17523.524379811806,21200.000000000004,21236.456341618865,106524.77922008577,0.0037286645918459538
2015-03-30,24277.381723914456,23117.45334796927,17519.247219846024,21600.000000000004,21208.413001912042,107722.49529364178,0.011243544293872532
2015-03-31,24121.840570317563,22766.190998902304,17390.93242087254,20800.000000000004,20961.121733588272,106040.08572368068,-0.015617996643830123
2015-04-01,23992.222942320157,22729.6011708745,17416.595380667237,21200.000000000004,20820.905035054173,106159.32452891607,0.0011244691516574257
